Review_Year,Complaint_Type,Event_Date,Location,Beat,Individual_Number,Action_Number,Action_Seq,Allegation_Number,Allegation_Type,Allegation_Seq,Incident_Number,Incident_Seq,PSS_Finding,CRB_Finding,CRB_Individual_Sustained,CRB_Split,Chief_Finding,Chief_Individual_Sustained,CRB_Chief,Concurrence,Chief,Exclusion,Chief_Action_Sustained,Chief_Allegation_Sustained,Chief_Incident_Sustained,CRB_Action_Sustained,CRB_Allegation_Sustained,CRB_Incident_Sustained,Notes,FID
2015,Citizen,2014-02-15T00:00:00.000Z,672 E Main St,297,14-0475.06.A.02,14-0475.06.A,2,14-0475.06,Procedure,2,14-0475,26,Unprovable,Unprovable,0,0,Unprovable,0,Unprovable-Unprovable,1,0,0,0,0,0,0,0,0,,508
2014,Citizen,2014-03-11T00:00:00.000Z,15 Charlotte St,219,14-0243.02.A.01,14-0243.02.A,1,14-0243.02,Courtesy,1,14-0243,4,Unprovable,Unprovable,0,0,Unprovable,0,Unprovable-Unprovable,1,1,0,0,0,1,0,0,1,,509
2014,Citizen,2014-03-11T00:00:00.000Z,15 Charlotte St,219,14-0243.02.B.01,14-0243.02.B,1,14-0243.02,Courtesy,2,14-0243,5,Unprovable,Unprovable,0,0,Unprovable,0,Unprovable-Unprovable,1,1,0,0,0,1,0,0,1,,510
2014,Citizen,2014-03-15T00:00:00.000Z,900 E Main St,225,14-0404.01.A.01,14-0404.01.A,1,14-0404.01,Force,1,14-0404,1,Exonerated,Exonerated,0,0,Exonerated,0,Exonerated-Exonerated,1,1,0,0,0,0,0,1,1,,511
2014,Citizen,2014-03-15T00:00:00.000Z,900 E Main St,225,14-0404.01.A.02,14-0404.01.A,2,14-0404.01,Force,2,14-0404,2,Exonerated,Exonerated,0,0,Exonerated,0,Exonerated-Exonerated,1,1,0,0,0,0,0,1,1,,512
2014,Citizen,2014-03-15T00:00:00.000Z,900 E Main St,225,14-0404.01.A.03,14-0404.01.A,3,14-0404.01,Force,3,14-0404,3,Exonerated,Exonerated,0,0,Exonerated,0,Exonerated-Exonerated,1,1,0,0,0,0,0,1,1,,513
2014,Citizen,2014-03-15T00:00:00.000Z,900 E Main St,225,14-0404.01.A.04,14-0404.01.A,4,14-0404.01,Force,4,14-0404,4,Exonerated,Exonerated,0,0,Exonerated,0,Exonerated-Exonerated,1,1,0,0,0,0,0,1,1,,514
2014,Citizen,2014-03-15T00:00:00.000Z,900 E Main St,225,14-0404.01.A.05,14-0404.01.A,5,14-0404.01,Force,5,14-0404,5,Exonerated,Exonerated,0,0,Exonerated,0,Exonerated-Exonerated,1,1,0,0,0,0,0,1,1,,515
2014,Citizen,2014-03-15T00:00:00.000Z,900 E Main St,225,14-0404.01.A.06,14-0404.01.A,6,14-0404.01,Force,6,14-0404,6,Exonerated,Exonerated,0,0,Exonerated,0,Exonerated-Exonerated,1,1,0,0,0,0,0,1,1,,516
2015,Citizen,2014-04-17T00:00:00.000Z,845 Jefferson Av,253,14-0430.01.A.01,14-0430.01.A,1,14-0430.01,Procedure,1,14-0430,1,Unfounded,Sustained,1,0,Unprovable,0,Sustained-Unprovable,0,1,0,0,0,0,1,1,1,,517
2014,Citizen,2014-03-15T00:00:00.000Z,900 E Main St,225,14-0404.01.A.07,14-0404.01.A,7,14-0404.01,Force,7,14-0404,7,Exonerated,Exonerated,0,0,Exonerated,0,Exonerated-Exonerated,1,1,0,0,0,0,0,1,1,,518
2015,Citizen,2014-04-17T00:00:00.000Z,845 Jefferson Av,253,14-0430.02.A.01,14-0430.02.A,1,14-0430.02,Force,1,14-0430,2,Exonerated,Exonerated,0,0,Exonerated,0,Exonerated-Exonerated,1,1,0,0,0,0,0,0,1,,519
2016,Internal,2014-09-26T00:00:00.000Z,205 Sawyer St,253,14-0787.02.B.02,14-0787.02.B,2,14-0787.02,Procedure,5,14-0787,16,Unprovable,Unprovable,0,0,Unprovable,0,Unprovable-Unprovable,1,1,0,0,0,0,0,1,1,,520
2014,Citizen,2014-03-15T00:00:00.000Z,900 E Main St,225,14-0404.01.B.01,14-0404.01.B,1,14-0404.01,Force,8,14-0404,8,Exonerated,Unfounded,0,0,Exonerated,0,Unfounded-Exonerated,0,1,0,0,0,0,0,1,1,,521
2016,Citizen,2015-09-05T00:00:00.000Z,513 Dewey Av,241,15-0877.04.A.03,15-0877.04.A,3,15-0877.04,Force,3,15-0877,18,Unprovable,Unprovable,0,0,Unprovable,0,Unprovable-Unprovable,1,1,0,0,0,0,0,0,1,,522
